id,name,age,value,wage,overall
143076,A. GÃ³mez,29,31000000,60000,84
193082,J. Cuadrado,29,24000000,115000,82
192629,Iago Aspas,29,24500000,115000,83
189505,Pedro,29,35000000,105000,84
188803,Taison,29,24500000,51000,82
187754,Marlos,29,25500000,130000,82
184144,N. GaitÃ¡n,29,25000000,15000,83
183898,A. Di MarÃ­a,29,46000000,190000,85
178416,J. Lens,29,17500000,59000,80
205114,T. Inui,29,11000000,22000,78
172175,K. Mirallas,29,10000000,73000,81
153079,S. AgÃ¼ero,29,66500000,325000,89
178311,Eder,30,17500000,130000,80
176580,L. SuÃ¡rez,30,97000000,510000,92
175943,D. Mertens,30,43000000,135000,86
185020,JosÃ© CallejÃ³n,30,24500000,66000,83
139068,Nani,30,24500000,47000,83
158023,L. Messi,30,105000000,565000,93
192492,F. Orellana,31,17500000,42000,80
157960,Manuel Fernandes,31,15000000,125000,80
167905,A. Valencia,31,19000000,40000,83
177326,M. Valbuena,32,17500000,125000,81
20801,Cristiano Ronaldo,32,95500000,565000,94
9014,A. Robben,33,36000000,225000,88
20775,Quaresma,33,15500000,67000,83
156616,F. RibÃ©ry,34,22500000,175000,86
